Chevrolet,Aveo,Амортизаторы капота,2011-,UCHAVE011,Компл.,20 мин.,550,60,35,1,2100
Chevrolet,Cruze,Амортизаторы капота,2009-,UCHCRU011,Компл.,20 мин.,550,60,35,1,2800
Chevrolet,Trailblazer,Амортизаторы капота,2012-,UCHTRA011,Компл.,20 мин.,550,60,35,1,2800
Citroen,C4,Амортизаторы капота,2011-,UCIC4011,Компл.,20 мин.,550,60,35,1,2100
Datsun,on-DO,Амортизаторы капота,2014-,UDAON011,Компл.,20 мин.,550,60,35,1,2100
Ford,Focus III,Амортизаторы капота,2011-,UFDFOC011,Компл.,20 мин.,550,60,35,1,2100
Ford,Kuga,Амортизаторы капота,2013-,UFDKUG011,Компл.,20 мин.,550,60,35,1,2800
Ford,Focus II,Амортизаторы капота,2004-2011,UFDFOC021,Компл.,20 мин.,550,60,35,1,2100
Geely,Emgrand X7,Амортизаторы капота,2013-,UGEEMG011,Компл.,20 мин.,550,60,35,1,2100
Great Wall,H5,Амортизаторы капота,2010-,UGRH5011,Компл.,20 мин.,550,60,35,1,2100
Great Wall,H3,Амортизаторы капота,2014-,UGRH3011,Компл.,20 мин.,550,60,35,1,2100
Hyundai,Solaris,Амортизаторы капота,2011-,UHUSOL011,Компл.,20 мин.,550,60,35,1,2100
Hyundai,IX-35,Амортизаторы капота,2013-,UHUIX011,Компл.,20 мин.,550,60,35,1,2800
Hyundai,I-30,Амортизаторы капота,2012-,UHUI3011,Компл.,20 мин.,550,60,35,1,2100
Kia,Rio,Амортизаторы капота,2011-,UKIRIO011,Компл.,20 мин.,550,60,35,1,2100
Kia,Sportage,Амортизаторы капота,2010-,UKISPO011,Компл.,20 мин.,550,60,35,1,2800
Kia,CEED,Амортизаторы капота,2012-,UKICEE011,Компл.,20 мин.,550,60,35,1,2100
Kia,Cerato,Амортизаторы капота,2012-,UKICER011,Компл.,20 мин.,550,60,35,1,2100
LADA,Kalina/Granta,Амортизаторы капота,2013-/2011-,ULAKAL/GRA011,Компл.,20 мин.,550,60,35,1,1700
LADA,Largus,Амортизаторы капота,2012-,ULALAR011,Компл.,20 мин.,550,60,35,1,1700
LADA,Priora,Амортизаторы капота,2013-,ULAPRI011,Компл.,20 мин.,550,60,35,1,1700
Lifan,X60,Амортизаторы капота,2011-,ULIX6011,Компл.,20 мин.,550,60,35,1,2100
Mazda,3,Амортизаторы капота,2013-,UMA3011,Компл.,20 мин.,550,60,35,1,2100
Mazda,6,Амортизаторы капота,2013-,UMA6011,Компл.,20 мин.,550,60,35,1,2800
Mazda,CX-5,Амортизаторы капота,2011-,UMACX5011,Компл.,20 мин.,550,60,35,1,2800
Mitsubishi,ASX,Амортизаторы капота,2010-,UMIASX011,Компл.,20 мин.,550,60,35,1,2800
Mitsubishi,Outlander,Амортизаторы капота,2012-,UMIOUT011,Компл.,20 мин.,550,60,35,1,2800
Mitsubishi,Pajero IV,Амортизаторы капота,2006-,UMIPAJ011,Компл.,20 мин.,550,60,35,1,2800
Mitsubishi,L200,Амортизаторы капота,2005-,UMIL200011,Компл.,20 мин.,550,60,35,1,2800
Mitsubishi,Lancer X,Амортизаторы капота,2011-,UMILAN011,Компл.,20 мин.,550,60,35,1,2100
Nissan,Juke,Амортизаторы капота,2011-,UNIJUK011,Компл.,20 мин.,550,60,35,1,2800
Nissan,X-Trail,Амортизаторы капота,2015-,UNIXTR011,Компл.,20 мин.,550,60,35,1,2800
Nissan,Qashqai,Амортизаторы капота,2014-,UNIQAS021,Компл.,20 мин.,550,60,35,1,2800
Nissan,Sentra,Амортизаторы капота,2014,UNISEN021,Компл.,20 мин.,550,60,35,1,2100
Nissan,Pathfinder,Амортизаторы капота,2014-,UNIPAT011,Компл.,20 мин.,550,60,35,1,2800
Nissan,Almera,Амортизаторы капота,2013-,UNIALM011,Компл.,20 мин.,550,60,35,1,2100
Nissan,TIIDA,Амортизаторы капота,2004-,UNITID011,Компл.,20 мин.,550,60,35,1,2100
Nissan,Navara,Амортизаторы капота,2007-,UNINAV011,Компл.,20 мин.,550,60,35,1,2800
Nissan,NP300,Амортизаторы капота,2013-,UNINP3011,Компл.,20 мин.,550,60,35,1,2800
Nissan,Teana,Амортизаторы капота,2008-2014,UNITEA011,Компл.,20 мин.,550,60,35,1,2800
Nissan,X-Trail,Амортизаторы капота,2007-2015,UNIXTR021,Компл.,20 мин.,550,60,35,1,2800
Nissan,Qashqai,Амортизаторы капота,2007-2014,UNIQAS021,Компл.,20 мин.,550,60,35,1,2800
Nissan,Pathfinder,Амортизаторы капота,2004-2014,UNPAT021,Компл.,20 мин.,550,60,35,1,2800
Opel,Astra,Амортизаторы капота,2010-,UOPAST011,Компл.,20 мин.,550,60,35,1,2100
Opel,Mokka,Амортизаторы капота,2012-,UOPMOK011,Компл.,20 мин.,550,60,35,1,2800
Renault,Logan,Амортизаторы капота,2004-2014,URELOG011,Компл.,20 мин.,550,60,35,1,1700
Renault,Sandero,Амортизаторы капота,2007-2014,URESAN011,Компл.,20 мин.,550,60,35,1,1700
Skoda,Octavia A7,Амортизаторы капота,2013-,USCOCT011,Компл.,20 мин.,550,60,35,1,2800
Skoda,Yeti,Амортизаторы капота,2014-,USCYET011,Компл.,20 мин.,550,60,35,1,2800
Skoda,Rapid,Амортизаторы капота,2014-,USCRAP011,Компл.,20 мин.,550,60,35,1,2100
Skoda,Fabia,Амортизаторы капота,2007-,USCFAB011,Компл.,20 мин.,550,60,35,1,2100
Ssang Yong,Action,Амортизаторы капота,2011-,USAACT011,Компл.,20 мин.,550,60,35,1,2100
Suzuki,Grand Vitara,Амортизаторы капота,2011-,USUGRV011,Компл.,20 мин.,550,60,35,1,2800
Toyota,RAV4,Амортизаторы капота,2013-,UTORAV011,Компл.,20 мин.,550,60,35,1,2800
Toyota,Highlander,Амортизаторы капота,2014-,UTOHIG011,Компл.,20 мин.,550,60,35,1,2800
Toyota,Corolla,Амортизаторы капота,2013-,UTOCOR011,Компл.,20 мин.,550,60,35,1,2800
UAZ,"Patriot, Pick Up",Амортизаторы капота,2005-,UUAPAT011,Компл.,20 мин.,550,60,35,1,2800
VW,Polo Sedan,Амортизаторы капота,2010-,UVWPOL011,Компл.,20 мин.,550,60,35,1,2100
VW,Tiguan,Амортизаторы капота,2011-,UVWTIG011,Компл.,20 мин.,550,60,35,1,2800
VW,Jetta,Амортизаторы капота,2011-,UVWJET011,Компл.,20 мин.,550,60,35,1,2800
