ACURA,,,,,,,,,,,,,
ACURA,"EL, V - все",1995-2001,защита картера и КПП ,111.02109.1,111.02109.1.jpg,"1,8 мм",+,6 мин.,981,900,65,14.4,2125
AUDI ,,,,,,,,,,,,,
AUDI ,"Audi A1 картер + КПП, V - все",2010-,защита картера и КПП ,111.05815.1,111.05815.1.jpg,"1,8 мм",+,8 мин.,610,950,90,12,1345
AUDI ,"A3 картер + КПП, V - 1,8TFSI",2012-,защита картера и КПП ,111.00322.1,111.00322.1.jpg,"1,8 мм",+,8 мин.,703,1110,56,11.1,1785
AUDI ,"80 , V - все, кроме 1.6D; 1.9D",1986-1994,защита картера и КПП ,111.00325.1,111.00325.1.jpg,"1,8 мм",+,8 мин.,741,891,95,10,2125
AUDI ,"A4 , V - 1,6; 1,8; 1.8T; 1.9TDi; 2,0",2000-2004,защита картера часть 1,111.05813.1,111.05813.1.jpg,"1,8 мм",+,8 мин.,791,867,54,11.6,2025
AUDI ,"A4, V - V - 1,6; 1,8; 1.8T; 1.9TDi; 2,0",2000-2004,защита КПП часть 2,111.05814.1,111.05814.1.jpg,"1,8 мм",+,9 мин.,361,720,10,4.2,2125
AUDI ,"A6 , V - 2,4; 2,6; 2,8",1997-2004,защита картера,111.00307.1,111.00307.1.jpg,"1,8 мм",+,8 мин.,774,916,42,10.8,2125
BYD,,,,,,,,,,,,,
BYD ,"F3 , V - 1,6",2005-,защита картера и КПП ,111.05722.3,111.05722.3.jpg,"1,8 мм",+,5 мин.,821,1015,92,11.5,1580
BMW,,,,,,,,,,,,,
BMW ,"5 серия, E39 , V - 2,0;2,8",1995-2002,защита картера и КПП ,111.00501.1,111.00501.1.jpg,"1,8 мм",+,8 мин.,889,695,47,9.9,2125
BMW ,"7 серия E65, E66; (2 части) V - 3,0; 3,5; 4,0; 4,5; 5,0; 6,0",2001-2008,защита картера и КПП ,111.00520.1,111.00520.1.jpg,"1,8 мм",+,10 мин.,575,872,60,13,1870
BRILLIANCE,,,,,,,,,,,,,
