ACURA,,,,,,,,,,,,,,,
ACURA,"MDX, V - 3,5",2014-,защита картера и КПП ,333.0101.1,333.0101.1.jpg,нет,4 мм,+,7 мин.,нет,975,915,130,9.3,10790
AUDI ,,,,,,,,,,,,,,,
Audi ,"A1 , V - все",2010-,защита картера и КПП ,333.0316.1,333.0316.1.jpg,нет,4 мм,+,9 мин.,нет,683,947,73,5.6,5875
Audi ,"A3 , V - 1,8 TFSI",2012-,защита картера и КПП ,333.0322.2,333.0322.2.jpg,Да,4 мм,+,8 мин.,нет,704,1110,58,8.2,7905
Audi ,"A4 , V - Все",2008-2012 2012-,защита картера и КПП ,333.0324.1,333.0324.1.jpg,Да,4 мм,+,8 мин.,нет,923,910,47,8.3,10880
Audi ,"A5 , V - Все",2007-2011 2011-,защита картера и КПП ,333.0324.1,333.0324.1.jpg,Да,4 мм,+,8 мин.,нет,923,910,47,8.3,10880
Audi ,"A6 , V - все",2011-,защита картера и КПП ,333.0314.2,333.0314.2.jpg,Да,4 мм,+,7 мин.,нет,1134,904,55,9.3,11585
Audi ,"A6 Allroad , V - все",2012-,защита картера и КПП ,333.0314.2,333.0314.2.jpg,Да,4 мм,+,7 мин.,нет,1134,904,55,9.3,11585
Audi ,"A7 , V - 3,0 TFSI",2010-,защита картера и КПП ,333.0314.2,333.0314.2.jpg,Да,4 мм,+,7 мин.,нет,1134,904,55,9.3,11585
Audi ,"A8 , V - 3,0 TFSI; 4,0 TFSI; 4,2 TFSI",2010-,защита картера и КПП ,333.0323.1,333.0323.1.jpg,нет,4 мм,+,7 мин.,нет,1170,900,40,11.5,11415
Audi ,"A8 , V - 4,2 TFSI",2010-,защита картера и КПП ,333.0317.1,333.0317.1.jpg,,,,,,,,,,4400
Audi ,"Q3 , V - 2,0 TFSI; 2,0 TDI",2011-,защита картера и КПП ,333.0328.1,333.0328.1.jpg,Да,4 мм,+,8 мин.,нет,1010,925,50,12.1,11415
Audi ,"Q5 , V - все",2008-2012 2012-,защита картера и КПП ,333.0321.1,333.0321.1.jpg,Да,4 мм,+,8 мин.,нет,894,950,50,9.4,11415
Audi ,"Q7 , V - все",2009-,защита радиатора,333.0304.3,333.0304.3.jpg,нет,4 мм,+,8 мин.,-,355,1294,30,5.5,4030
Audi ,"Q7 , V - все",2006-2009 2009-,защита картера ,333.0305.2,333.0305.2.jpg,нет,4 мм,+,7 мин.,нет,865,670,45,6.5,4470
Audi ,"Q7 , V - 3,0TDI; 3,0TFSI; 4,2TDI",2006-2009 2009-,защита КПП и РК,333.0320.1,333.0320.1.jpg,нет,4 мм,+,7 мин.,-,873,975,35,8.7,6410
Audi ,"A3 , V - все",2003-2012,защита картера  ,333.0315.1,333.0315.1.jpg,нет,4 мм,+,8 мин.,нет,704,1110,58,8.2,7720
BMW,,,,,,,,,,,,,,,
BMW ,"3, RWD F30 ""316i, 320i""",2012-,защита КПП  ,333.0521.1,333.0521.1.jpg,нет,4 мм,+,8 мин.,нет,590,390,30,5,7580
BMW ,"3, 4WD F30 ""328d, 320i, 320d""",2012-,защита КПП и РК,333.0522.1,333.0522.1.jpg,нет,4 мм,+,8 мин.,нет,825,405,35,5.4,7905
BMW ,"3 GT, 4WD F34 ""328i, 320i, 320d""",2013-,защита КПП и РК,333.0522.1,333.0522.1.jpg,нет,4 мм,+,8 мин.,нет,825,405,35,5.4,7905
BMW ,"4 coupe, RWD  ""420i, 420d""",2012-,защита КПП  ,333.0521.1,333.0521.1.jpg,нет,4 мм,+,8 мин.,нет,590,390,30,5,7580
BMW ,"5 , ""528i xDrive"", ""530d xDrive""",2010-,защита картера ,333.0513.2,333.0513.2.jpg,нет,4 мм,+,8 мин.,Да (528i xDrive),1167,950,75,12,11895
BMW ,"5 , ""528i xDrive"", ""530d xDrive""",2010-,защита КПП и РК,333.0514.3,333.0514.3.jpg,нет,4 мм,+,8 мин.,-,1190,670,27,8.1,9335
BMW ,"5 , ""528i xDrive"", ""530d xDrive""",2010-,защита КПП и РК,333.0514.2,333.0514.2.jpg,,,,,,,,,,3700
BMW ,"5 , ""528i xDrive"", ""530d xDrive""",2010-,защита КПП и РК,333.0514.1,333.0514.1.jpg,,,,,,,,,,3700
BMW ,"GT , ""528i xDrive"", ""530d xDrive""",2009-,защита картера ,333.0513.2,333.0513.2.jpg,нет,4 мм,+,8 мин.,Да (530d xDrive),1167,950,75,12,11895
BMW ,"GT, ""528i xDrive"", ""530d xDrive""",2009-,защита КПП и РК,333.0514.3,333.0514.3.jpg,нет,4 мм,+,8 мин.,-,1190,670,27,8.1,9335
BMW ,"GT, ""528i xDrive"", ""530d xDrive""",2009-,защита КПП и РК,333.0514.2,333.0514.2.jpg,,,,,,,,,,3700
BMW ,"GT, ""528i xDrive"", ""530d xDrive""",2009-,защита КПП и РК,333.0514.1,333.0514.1.jpg,,,,,,,,,,3700
BMW ,"X1 2WD , ""18i""",2009-,защита картера,333.0519.1,333.0519.1.jpg,нет,4 мм,+,8 мин.,-,797,1120,32,9.9,11805
BMW ,"X1 2WD , ""18i""",2009-,защита РК,333.0510.1,333.0510.1.jpg,нет,4 мм,+,7 мин.,Да (18i),893,610,95,5.3,8890
BMW ,"X1 4WD , ""20i; 20d; 25d""",2009-,защита картера,333.0515.1,333.0515.1.jpg,нет,4 мм,+,8 мин.,-,962,1141,57,9.5,12845
BMW ,"X1 4WD , ""20i; 20d; 25d""",2009-,защита КПП и РК ,333.0517.1,333.0517.1.jpg,нет,4 мм,+,7 мин.,"Да (20d, 20i, 25d)",964,631,30,6.1,7865
BMW ,"X3 , ""20d; 28i; 30d""",2010-,защита картера,333.0506.2,333.0506.2.jpg,Да,4 мм,+,8 мин.,-,890,990,80,9.15,12635
BMW ,"X3 , ""20d; 28i; 30d""",2010-,защита КПП и РК ,333.0507.2,333.0507.2.jpg,Да,4 мм,+,7 мин.,"Да (2,0d; 2,8i; 3,0d)",950,490,110,6.5,8775
BMW ,"X3 , ""20d; 28i; 30d""",2010-,защита КПП и РК ,333.0507.1,333.0507.1.jpg,,,,,,,,,,2800
BMW ,"X5 , ""30d""",2013-,защита картера,333.0523.1,333.0523.1.jpg,Да,4 мм,+,10 мин.,Да (30d),1065,1000,65,12,15160
BMW ,"X5 , ""30d; 35i; 40d""",2007-2013 2013-,защита КПП и РК ,333.0505.1,333.0505.1.jpg,Да,4 мм,+,8 мин.,-,840,400,160,3.9,8530
BMW ,"X6 , ""30d; 35i""",2008-,защита картера,333.0504.1,333.0504.1.jpg,нет,4 мм,+,10 мин.,нет,1020,960,64,9.1,15160
BMW ,"X6 ,  ""30d; 35i""",2008-,защита КПП и РК ,333.0505.1,333.0505.1.jpg,Да,4 мм,+,8 мин.,-,840,400,160,3.9,8530
BMW ,"X5 , ""30d; 35i; 40d""",2007-2013 2013-,защита картера,333.0508.1,333.0508.1.jpg,нет,4 мм,+,10 мин.,Да (30d; 40d),1015,960,64,9.1,15160
CADILLAC,,,,,,,,,,,,,,,
Cadillac ,"Escalade , V - 6,2     ",2007-,защита картера ,333.0806.1,333.0806.1.jpg,нет,4 мм,+,8 мин.,нет,922,716,311,7.6,9125
Cadillac ,"Escalade , V - 6,2     ",2007-,защита КПП И РК ,333.0807.1,333.0807.1.jpg,нет,4 мм,+,7 мин.,-,1339,850,40,11,12115
Cadillac ,"SRX II , V - 3,0                                            ",2010-,защита картера и КПП ,333.0805.1,333.0805.1.jpg,нет,4 мм,+,7 мин.,нет,642,799,87,5.9,7905
CHEVROLET,,,,,,,,,,,,,,,
Chevrolet,"Aveo , МКПП, V - 1,6",2012-,защита картера и КПП ,3.1015.1,3.1015.1.jpg,нет,4 мм,штатный ,6 мин.,нет,677,786,82,5.9,4970
Chevrolet,"Captiva , V - 2,2D; 2,4i; 3,0i",2012-,защита картера и КПП ,333.4208.1,333.4208.1.jpg,нет,4 мм,+,6 мин.,"Да (2,2D; 2,4; 3,0)",982,1012,50,10.2,5785
Chevrolet,"Cobalt , V - 1,5",2013-,защита картера и КПП ,333.1016.1,333.1016.1.jpg,нет,4 мм,+,5 мин.,нет,711,750,47,4.9,4970
Chevrolet,"Cruze , V - 1,6; 1,8",2009-,защита картера и КПП ,333.1010.1,333.1010.1.jpg,нет,4 мм,+,4 мин.,"Да (1,6; 1,8)",712,750,45,6.3,4970
Chevrolet,"Lanos , V - 1,5",2005-,защита картера и КПП ,333.1005.1,333.1005.1.jpg,нет,4 мм,+,5 мин.,нет,896,930,103,8.5,4970
